smiles,cluster_index
COC1=CC=CC=C1N1CCN(CC1)C(=O)C1=CC=C(N)C=C1,1
COC1=C(C=CC=C1)N1CCN(CC(N)=S)CC1,1
COC1=CC=CC=C1N1CCN(CCCNC2=CC(=O)N(C)C(=O)N2C)CC1,1
COC1=CC=CC=C1N1CCN(CC(C)N(C(=O)C2CCCCC2)C2=NC=CC=C2)CC1,1
CC1=C(C)C(=CC=C1)N1CCN(CCN)CC1,1
CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,1
CC(=O)N1CCN(CC1)C1=C(C=O)C=CC=C1,1
CN1CCN(CC1)C1=C(C=O)C=CC=C1,1
O=CC1=CC=CC=C1N1CCOCC1,1
O=CC1=CC=CC=C1N1CCN(CC2=CC=CC=C2)CC1,1
NC1=CC=CC=C1N1CCNCC1,1
NC1=CC=CC=C1N1CCCCC1,1
NC1=C(C=CC=C1)N1CCC(O)CC1,1
CN1CCN(CC1)C1=C(N)C=CC=C1,1
CCN1CCN(CC1)C1=C(N)C=CC=C1,1
NC1=C(C=CC=C1)N1CCN(CCC2=CC=NC=C2)CC1,1
OC1=CC=CC=C1N1CCCCC1,1
OC1=CC=CC=C1N1CCCC1,1
CC1CCCN(C1)C1=C(O)C=CC=C1,1
COC1=CC=C(C=C1)N1CCC(N)CC1,1
CC(C)(C)C1=CC=C(C=C1)N1CCC(N)CC1,1
NC1CCN(C1)C1=CC=C(C=C1)C(F)(F)F,1
CNC1CCN(C1)C1=CC(OC)=CC(OC)=C1,1
CNC1CCN(CC1)C1=CC=C(Cl)C=C1,1
NC1CCN(C1)C1=C(C=CC=C1)C(N)=O,1
NC1CCN(CC1)C1=C(C=CC=C1)C(N)=O,1
CNS(=O)(=O)C1=C(C=CC=C1)N1CCC(N)CC1,1
CCS(=O)(=O)C1=C(C=CC=C1)N1CCC(N)CC1,1
C1CN(CCN1)C1=CC=NC=C1,1
C1CCN(C1)C1=CC=NC=C1,1
NCC1CCN(CC1)C1=CC=NC=C1,1
CNCC1CCN(CC1)C1=CC=NC=C1,1
C1CN(CCC1NC1=CC=CC=C1)C1=CC=NC=C1,1
FC1=CC=C(NC2CCN(CC2)C2=CC=NC=C2)C=C1,1
ClC1=CC=C(O[Si]23OCCN(CCO2)CCO3)C=C1,1
ClC1=CC(O[Si]23OCCN(CCO2)CCO3)=CC(Cl)=C1,1
ClC1=CC=CC(O[Si]23OCCN(CCO2)CCO3)=C1,1
BrC1=CC=C(O[Si]23OCCN(CCO2)CCO3)C=C1,1
C1CN2CCO[Si](OC3=CC=CC=C3)(O1)OCC2,1
BrC1=CC=CC(O[Si]23OCCN(CCO2)CCO3)=C1,1
CC1=CC=C(O[Si]23OCCN(CCO2)CCO3)C=C1,1
CC1=CC(O[Si]23OCCN(CCO2)CCO3)=CC(C)=C1,1
CC1=CC(O[Si]23OCCN(CCO2)CCO3)=CC=C1,1
OC(C(N1CCCCC1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,1
N#CC(N1CCCCC1)C1=CC=CC=C1,1
C(CN1CCCCC1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
OCCN1CCCCC1C(C1=CC=CC=C1)C1=CC=CC=C1,1
O=C(CC1=CC=CC=C1)C(N1CCCCC1)C1=CC=CC=C1,1
O=C(CC(N1CCCCC1)C1=CC=CO1)CC1=CC=CC=C1,1
O=C(C(C(=O)N1CCOCC1)C1=CC=CC=C1)N1CCOCC1,1
O=C(C(C(=O)N1CCCCC1)C1=CC=CC=C1)N1CCCCC1,1
ClC(C(=O)N1CCCCC1)C1=CC=CC=C1,1
NC(=NC1=CC=CC=C1)N1CCCCC1,1
CC(C)(SC(=O)N1CCCCC1)C1=CC=CC=C1,1
FC(F)(F)C(=NS(=O)(=O)C1=CC=CC=C1)N1CCN(CC1)C=O,1
OC(=O)C(N1C(=O)CCC1=O)C1=CC=CC=C1,1
OC(=O)C(N1CCCCC1=O)C1=CC=CC=C1,1
OC(=O)C(N1CCC2=C1C=CC=C2)C1=CC=CC=C1,1
OC(=O)C(N1CCS(=O)(=O)CC1)C1=CC=CC=C1,1
OC(=O)C(N1CCCC1)C1=CC=C(Br)C=C1,1
OC(=O)C(C1CCCCC1)C1=CC=CC=C1,1
OC(=O)C(C1CCCC1)C1=CC=CC=C1,1
OC(=O)C(C1CC1)C1=CC=CC=C1,1
NN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
O=C1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
O=C(CC#N)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
OC(=O)C1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
N#CC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1,1
OC(=O)C1=C(C=CC=C1)C(=O)N1CCCCC1,1
OC(=O)C1=C(C=CC=C1)C(=O)N1CCCC1,1
OC1=C(C=CC=C1)C(=O)N1CCCCC1,1
ClC1=C(C=CC=C1)C(=O)N1CCC(=O)CC1,1
OC1CCN(CC1)C(=O)C1=C(F)C=CC=C1,1
OC(=O)C1=C(C=CC=C1)N1CCCCC1,1
OC(=O)C1=C(C=CC=C1)N1CCCC1,1
NC(=O)C1=C(C=CC=C1)N1CCCCC1,1
CN1CCN(CC1)C1=CC=CC=C1C(O)=O,1
